Node	Time	Spot_Price
3	1	11.47
3	2	11.23
3	3	11.9
3	4	13.0
3	5	15.8
3	6	17.27
3	7	19.73
3	8	25.26
3	9	23.86
3	10	19.16
3	11	17.7
3	12	15.24
3	13	11.77
3	14	11.92
3	15	13.94
3	16	17.42
3	17	17.62
3	18	17.72
3	19	17.39
3	20	16.85
3	21	15.03
3	22	13.52
3	23	11.47
3	24	7.53
4	1	23.24
4	2	23.19
4	3	22.99
4	4	22.99
4	5	22.99
4	6	23.92
4	7	24.99
4	8	25.52
4	9	25.52
4	10	25.49
4	11	25.2
4	12	25.16
4	13	24.94
4	14	24.52
4	15	24.24
4	16	24.19
4	17	24.23
4	18	24.23
4	19	24.2
4	20	24.19
4	21	23.94
4	22	24.5
4	23	24.42
4	24	23.7
5	1	85.43
5	2	84.34
5	3	82.54
5	4	81.7
5	5	83.23
5	6	86.34
5	7	88.98
5	8	94.88
5	9	129.11
5	10	117.16
5	11	109.91
5	12	102.5
5	13	97.11
5	14	97.69
5	15	107.45
5	16	115.69
5	17	123.88
5	18	133.56
5	19	133.53
5	20	126.38
5	21	116.51
5	22	99.96
5	23	91.69
5	24	90.91
6	1	53.23
6	2	52.99
6	3	53.26
6	4	53.89
6	5	56.03
6	6	60.12
6	7	72.51
6	8	86.67
6	9	87.0
6	10	85.53
6	11	81.17
6	12	78.01
6	13	75.82
6	14	78.29
6	15	77.32
6	16	86.74
6	17	97.3
6	18	116.57
6	19	132.0
6	20	106.79
6	21	97.36
6	22	84.94
6	23	81.04
6	24	76.91
7	1	37.0
7	2	36.66
7	3	36.55
7	4	36.47
7	5	37.0
7	6	38.87
7	7	46.5
7	8	69.36
7	9	60.45
7	10	54.83
7	11	58.65
7	12	52.07
7	13	42.08
7	14	36.02
7	15	37.08
7	16	42.01
7	17	40.7
7	18	42.08
7	19	42.63
7	20	42.65
7	21	42.03
7	22	42.1
7	23	38.89
7	24	32.06
8	1	19.92
8	2	19.08
8	3	18.92
8	4	18.8
8	5	18.92
8	6	19.17
8	7	20.07
8	8	20.85
8	9	20.8
8	10	20.22
8	11	19.56
8	12	19.51
8	13	19.11
8	14	19.12
8	15	19.23
8	16	19.29
8	17	20.4
8	18	20.74
8	19	20.93
8	20	21.06
8	21	20.58
8	22	20.3
8	23	19.55
8	24	20.04
9	1	25.13
9	2	24.05
9	3	24.09
9	4	24.04
9	5	24.05
9	6	27.01
9	7	31.56
9	8	48.92
9	9	40.98
9	10	40.97
9	11	35.92
9	12	32.91
9	13	31.49
9	14	31.52
9	15	31.16
9	16	31.91
9	17	31.69
9	18	31.96
9	19	31.31
9	20	31.25
9	21	35.01
9	22	34.67
9	23	30.71
9	24	28.99
10	1	35.19
10	2	35.05
10	3	34.99
10	4	34.4
10	5	35.0
10	6	39.58
10	7	72.05
10	8	107.41
10	9	82.1
10	10	60.18
10	11	46.95
10	12	40.56
10	13	38.79
10	14	40.35
10	15	44.82
10	16	52.34
10	17	80.1
10	18	104.71
10	19	134.97
10	20	47.98
10	21	41.02
10	22	39.64
10	23	36.72
10	24	35.52
11	1	54.27
11	2	50.62
11	3	48.15
11	4	47.26
11	5	45.21
11	6	48.35
11	7	51.3
11	8	55.1
11	9	58.39
11	10	55.64
11	11	53.25
11	12	51.45
11	13	51.24
11	14	51.76
11	15	51.29
11	16	52.8
11	17	53.42
11	18	58.03
11	19	59.51
11	20	59.73
11	21	59.32
11	22	58.75
11	23	56.8
11	24	54.51
12	1	57.79
12	2	51.72
12	3	49.67
12	4	49.34
12	5	49.4
12	6	54.87
12	7	72.36
12	8	173.59
12	9	282.91
12	10	293.71
12	11	274.62
12	12	257.16
12	13	251.86
12	14	239.75
12	15	292.25
12	16	299.02
12	17	343.77
12	18	349.4
12	19	229.71
12	20	205.93
12	21	134.64
12	22	113.27
12	23	103.32
12	24	94.51
13	1	62.35
13	2	59.94
13	3	58.79
13	4	57.77
13	5	59.21
13	6	63.01
13	7	66.89
13	8	82.93
13	9	100.98
13	10	93.7
13	11	83.0
13	12	76.8
13	13	65.29
13	14	63.75
13	15	63.38
13	16	64.52
13	17	75.81
13	18	90.99
13	19	93.02
13	20	86.32
13	21	76.53
13	22	67.94
13	23	63.75
13	24	59.94
14	1	39.35
14	2	39.23
14	3	39.15
14	4	39.2
14	5	39.93
14	6	42.27
14	7	43.25
14	8	43.33
14	9	42.39
14	10	41.82
14	11	42.39
14	12	42.18
14	13	41.84
14	14	41.74
14	15	40.83
14	16	42.01
14	17	42.83
14	18	43.01
14	19	42.66
14	20	42.18
14	21	41.54
14	22	39.73
14	23	38.4
14	24	39.45
